id,name,price,rate,description,link_product
10,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q8FA,15.490.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '55 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa55q8fa-55-inch-4k-ultra-hd-QA55Q8FA
11,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q8FA,17.490.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa65q8fa-65-inch-4k-ultra-hd-QA65Q8FA
12,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q8FA,28.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa75q8fa-75-inch-4k-ultra-hd-QA75Q8FA
13,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q8FA,46.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa85q8fa-85-inch-4k-ultra-hd-QA85Q8FA
14,Smart Tivi Qled Samsung 65 Inch 4K QA65Q60B [HÀNG TRƯNG BÀY],14.490.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Quantum Processor 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2022', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/smart-tivi-qled-4k-65-inch-samsung-qa65q60bakxxv-00003932
15,Tivi Qled SAMSUNG 4K 75 Inch QA75Q60D,23.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát', 'Độ phân giải': '4K', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Ứng dụng phổ biến': 'HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2'}",https://pico.vn/tivi-qled-samsung-4k-75-inch-qa75q60d-QA75Q60D
16,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q60B,19.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Quantum Processor Lite 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2022', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/smart-tivi-qled-samsung-4k-75-inch-qa75q60bakxxv-FUFJ9747
17,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q70C [HÀNG TRƯNG BÀY],12.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '55 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Kích thước có chân': 'Ngang x cao x dày (123.29cm x 77.83cm x 24.65cm)', 'Khối lượng có chân': '17,6kg', 'Kích thước không chân': 'Ngang x cao x dày (123.29cm x 70.87cm x 2.57cm)'}",https://pico.vn/tivi-qled-samsung-qa55q70cakxxv-55-inch-4k-ultra-hd-VNTI1238
18,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q70C,19.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Bộ xử lý Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Điều khiển bằng điện thoại', 'Ứng dụng phổ biến': 'YouTube Netflix Clip TV FPT Play MyTV VieON Spotify Trình duyệt web Amazon Prime video Apple TV'}",https://pico.vn/smart-tivi-qled-4k-65-inch-samsung-qa65q70c-VQKN8317
19,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q80C,19.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '55 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/smart-tivi-qled-samsung-4k-55-inch-qa55q80cakxxv-HEIT7636
