id,name,rate,price,description,link_product
10,Smart Tivi QLED Samsung AI 4K 43 inch QA43Q7FA,4.9,11.400.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '43 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-43-inch-qa43q7fa
11,Smart Tivi QLED Samsung AI 4K 65 inch QA65Q7FA,4.9,17.450.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '65 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-65-inch-qa65q7fa
12,Smart Tivi QLED Samsung 4K 43 inch QA43Q65D,4.9,12.400.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '43 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-43-inch-qa43q65d
13,Smart Tivi QLED Samsung 4K 55 inch QA55Q6FA,4.9,12.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q6fa?utm_flashsale=1
14,Smart Tivi QLED Samsung 4K 55 inch QA55Q60C,4.9,15.700.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-55-inch-samsung-qa55q60c
15,Smart Tivi QLED Samsung AI 4K 75 inch QA75Q8F5,4.9,26.950.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '75 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-75-inch-qa75q8f5
16,Smart Tivi QLED Samsung 4K 43 inch QA43Q60C,5,12.500.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '43 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-43-inch-samsung-qa43q60c
17,Smart Tivi QLED Samsung AI 4K 75 inch QA75Q80D,4.9,39.200.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '75 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED nền (Full Array LED), LED nền (Full Array LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Kim loại', 'Chất liệu viền tivi': 'Kim loại', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-75-inch-qa75q80d
18,Smart Tivi QLED Samsung 4K 65 inch QA65Q6FA,4.9,14.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '65 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-65-inch-qa65q6fa?utm_flashsale=1
19,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q80B,4.9,23.400.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED nền (Full Array LED), Tấm nền: VA LCD, LED nền (Full Array LED), VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Kim loại', 'Chất liệu viền tivi': 'Kim loại', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2022'}",https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q80b
